video_title,video_length,video_views,published_date,tournament
Frostbite 2020 SSBU Pools - TG | Raito (Duck Hunt) Vs. Try Hard Train (Pikachu) Ultimate Singles,PT7M48S,7277,2020-02-22T19:09:27Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - MVG | Salem (Snake, Hero) Vs NxL | Bonren (Zelda) Smash Ultimate Singles",PT7M59S,29399,2020-02-22T19:22:24Z,Frostbite 2020
"Frostbite 2020 SSBU  - Skilly (Hero, Palutena) Vs. Kazma (ROB) Ultimate Singles - SSBU",PT7M57S,2657,2020-02-22T19:25:45Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Zen (Pikachu) Vs. Dingle (Joker) Ultimate Singles - SSBU,PT6M49S,2046,2020-02-22T19:35:27Z,Frostbite 2020
Frostbite 2020 SSBU Pools - CLG | VoiD  (Sheik) Vs. Nebula (Pac-Man) Smash Ultimate Singles - SSBU,PT14M54S,38734,2020-02-22T19:45:33Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - GW | Melody (Joker, Wolf) Vs. xoxo (Greninja) Ultimate Singles - SSBU",PT7M41S,2580,2020-02-22T19:47:25Z,Frostbite 2020
Frostbite 2020 SSBU Pools - APE | Goblin (Roy) Vs. Pikmanz (Pikachu) Ultimate Singles - SSBU,PT6M22S,5045,2020-02-22T19:55:19Z,Frostbite 2020
Frostbite 2020 SSBU Pools - DNG | Nietono (Pichu) Vs. Rawk (Dark Samus) Smash Ultimate Singles,PT13M42S,9686,2020-02-22T20:06:42Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Geist (Bayonetta) Vs. Nectar (ROB) Ultimate Singles - SSBU,PT6M10S,4430,2020-02-22T20:08:37Z,Frostbite 2020
Frostbite 2020 SSBU Pools - NRG | Nairo (Palutena) Vs. FYC | Grape (Snake) Ultimate Singles - SSBU,PT5M23S,9738,2020-02-22T20:27:18Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Pwndahbear (Yoshi) Vs. Mr. E (Lucina) Ultimate Singles - SSBU,PT7M20S,4035,2020-02-22T20:28:37Z,Frostbite 2020
